id,email,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge
1001,swastima@school.com,Swastima Magar,Dharan,12,75,54,1.55,6,Other,Business,IL,12,Y,63.01,30,Overdue,5,4,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","26/02/2023 13:59:59,15/03/2023 01:59:59,08/04/2023 19:59:59,29/04/2023 23:59:59","Lately, I've been confused because Biology is stressing me out.",F
1002,keki@school.com,Keki Thapa,Dharan,11,73,85,1.58,7,Other,Retired,UM,IL,Y,77.36,67,Paid,2,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 16:59:59,07/03/2023 16:59:59,01/04/2023 04:59:59,21/04/2023 20:59:59","Currently, I'm distracted because Biology is taking up all my energy.",M
1003,saugat@school.com,Saugat Paudel,Pokhara,12,87,86,0.11,9,Business,Retired,PG,UM,N,89.63,90,Paid,3,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","18/02/2023 10:59:59,11/03/2023 18:59:59,28/03/2023 11:59:59,19/04/2023 05:59:59","Everything is great, especially since confident, and Chemistry is better than I thought.",F
1004,dayahang@school.com,Dayahang Gurung,Janakpur,12,99,96,1,14,Other,Business,UM,IL,N,98.95,95,Paid,2,1,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","17/02/2023 08:59:59,07/03/2023 08:59:59,01/04/2023 17:59:59,22/04/2023 14:59:59","Everything is great, especially since resilient, and Physics is my favorite part of the week.",F
1005,saugat2@school.com,Saugat KC,Ghorahi,10,68,28,0.44,15,Retired,Housewife,UM,PG,Y,68.77,77,Overdue,4,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","15/02/2023 18:59:59,04/03/2023 10:59:59,02/04/2023 08:59:59,18/04/2023 22:59:59","Honestly, I'm tense because Mathematics is confusing for me.",F
1006,rajesh@school.com,Rajesh KC,Pokhara,10,24,48,0.47,13,Business,Retired,12,UM,N,92.77,99,Paid,3,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 23:59:59,05/03/2023 10:59:59,30/03/2023 10:59:59,21/04/2023 03:59:59","I'm determined, and Physics is helping me learn a lot.",F
1007,sandeep@school.com,Sandeep Gurung,Pokhara,10,91,94,0.38,9,Retired,Business,Degree,UM,N,97.66,87,Paid,1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 10:59:59,04/03/2023 23:59:59,27/03/2023 22:59:59,20/04/2023 04:59:59","Currently calm, and Chemistry is better than I thought.",F
1008,bipin@school.com,Bipin Malla,Lalitpur,9,90,21,1.44,5,Service,Service,IL,IL,N,63.05,89,Paid,3,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","14/02/2023 17:59:59,14/03/2023 04:59:59,28/03/2023 22:59:59,19/04/2023 01:59:59","To be fair, I'm disinterested because Biology is causing me some anxiety.",F
1009,nischal@school.com,Nischal Magar,Kathmandu,9,18,15,0.26,16,Business,Housewife,IL,10,N,69.05,21,Paid,1,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 11:59:59,15/03/2023 22:59:59,26/03/2023 22:59:59,18/04/2023 09:59:59","Lately, I've been isolated because Physics is stressing me out.",F
1010,namrata@school.com,Namrata Khadka,Ghorahi,11,61,11,1.77,4,Business,Service,10,IL,N,84.58,53,Paid,4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","16/02/2023 05:59:59,11/03/2023 23:59:59,30/03/2023 00:59:59,21/04/2023 01:59:59","I'm feeling normal, and Physics is moving along.",M
