id,name,address,grade,tnp,twp,tt,nf,fo,mo,fq,mq,arr,attendance %,ias,fee_late,teacher_rating,previous_visits,assignment,assignment_due_date,assignment_submitted,summary_self_check_in,ge,email,phone
1189,Sunil Shrestha,Birgunj,9,96,93,1.25,16,Service,Others,10,PG,N,98.14,87,"Paid,Paid,Paid",1,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 00:59:59,12/03/2023 02:59:59,29/03/2023 08:59:59,17/04/2023 06:59:59","Everything is great, especially since calm, and Physics is going well.",F,sunil.shrestha1189@school.edu,555-2189
1292,Rekha Gurung,Lalitpur,10,19,1,0.83,9,Service,Business,PG,10,N,91.77,26,"Paid,Paid,Paid",1,1,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 23:59:59,04/03/2023 16:59:59,28/03/2023 18:59:59,16/04/2023 04:59:59","To be fair, I'm lonely because Physics is stressing me out.",M,rekha.gurung1292@school.edu,555-2292
1201,Sushma Gurung,Dharan,11,90,65,1.02,11,Retired,Business,PG,PG,Y,44.14,42,"Paid,Paid,Paid",5,10,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","26/02/2023 09:59:59,17/03/2023 09:59:59,10/04/2023 00:59:59,06/05/2023 06:59:59",I'm feeling very tired because Biology is too much right now.,M,sushma.gurung1201@school.edu,555-2201
1055,Arpan Malla,Hetauda,11,75,75,1.74,8,Farmer,Business,10,UM,N,81.87,63,"Paid,Paid,Paid",4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","14/02/2023 15:59:59,10/03/2023 15:59:59,01/04/2023 20:59:59,26/04/2023 11:59:59","Mostly a bit tired, and Biology is following the plan.",M,arpan.malla1055@school.edu,555-2055
1454,Sunil Karki,Lalitpur,11,29,9,1.09,11,Service,Others,Degree,10,Y,86.79,79,"Overdue,Paid,Paid",4,3,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 19:59:59,09/03/2023 07:59:59,04/04/2023 12:59:59,20/04/2023 00:59:59",I'm feeling anxious because Physics is causing me some anxiety.,F,sunil.karki1454@school.edu,555-2454
1344,Sunil Khatiwada,Birgunj,9,4,34,1.57,8,Farmer,Retired,10,IL,N,78.71,96,"Paid,Paid,Paid",3,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 01:59:59,09/03/2023 06:59:59,28/03/2023 15:59:59,17/04/2023 13:59:59","I'm great, and Biology is going well.",F,sunil.khatiwada1344@school.edu,555-2344
1127,Sunil Adhikari,Janakpur,10,97,98,0.62,16,Farmer,Others,IL,PG,N,90.27,85,"Paid,Paid,Paid",1,2,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","18/02/2023 12:59:59,07/03/2023 22:59:59,27/03/2023 05:59:59,18/04/2023 16:59:59","Doing alright, and Physics is following the plan.",M,sunil.adhikari1127@school.edu,555-2127
1167,Priyanka Basnet,Lalitpur,9,39,7,1.06,11,Business,Service,UM,10,Y,80.47,33,"Overdue,Paid,Paid",2,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 04:59:59,14/03/2023 02:59:59,30/03/2023 04:59:59,15/04/2023 03:59:59",I'm feeling disinterested because Physics is too much right now.,M,priyanka.basnet1167@school.edu,555-2167
1405,Aayush Adhikari,Pokhara,10,63,24,1.93,14,Service,Retired,12,UM,N,67.33,35,"Paid,Paid,Overdue",1,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 00:59:59,04/03/2023 17:59:59,27/03/2023 21:59:59,16/04/2023 19:59:59","To be fair, I'm exhausted because Mathematics is hard to keep up with.",M,aayush.adhikari1405@school.edu,555-2405
1054,Aayush Khatiwada,Itahari,11,88,50,1.48,13,Service,Retired,10,10,Y,42.66,31,"Overdue,Paid,Paid",1,7,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","21/02/2023 00:59:59,14/03/2023 05:59:59,10/04/2023 04:59:59,02/05/2023 20:59:59","Honestly, I'm frustrated because Physics is where I'm struggling the most.",F,aayush.khatiwada1054@school.edu,555-2054
1197,Saugat Paudel,Janakpur,11,5,89,1.36,1,Other,Retired,Degree,UM,N,93.33,58,"Paid,Paid,Paid",4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","17/02/2023 17:59:59,06/03/2023 11:59:59,03/04/2023 10:59:59,21/04/2023 19:59:59","I'm feeling balanced, and Biology is following the plan.",F,saugat.paudel1197@school.edu,555-2197
1255,Nischal Magar,Ghorahi,10,92,57,1.03,2,Service,Service,Degree,IL,Y,56.18,38,"Paid,Paid,Overdue",5,7,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","24/02/2023 15:59:59,16/03/2023 21:59:59,04/04/2023 11:59:59,29/04/2023 12:59:59","Lately, I've been distracted because Mathematics is where I'm struggling the most.",F,nischal.magar1255@school.edu,555-2255
1010,Namrata Khadka,Ghorahi,11,61,11,1.77,4,Business,Service,10,IL,N,84.58,53,"Paid,Paid,Paid",4,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","16/02/2023 05:59:59,11/03/2023 23:59:59,30/03/2023 00:59:59,21/04/2023 01:59:59","I'm feeling normal, and Physics is moving along.",M,namrata.khadka1010@school.edu,555-2010
1267,Rajesh Paudel,Dharan,10,14,90,1.29,11,Business,Housewife,Degree,Degree,Y,97.56,44,"Paid,Overdue,Overdue",4,0,"T189_Physics_LabReport_1_03/02/2023,T328_Physics_LabReport_2_22/02/2023,T658_Mathematics_HW_3_17/03/2023,T323_Chemistry_LabReport_4_05/04/2023","17/02/2023 23:59:59,08/03/2023 23:59:59,31/03/2023 23:59:59,19/04/2023 23:59:59","13/02/2023 18:59:59,05/03/2023 21:59:59,28/03/2023 12:59:59,17/04/2023 23:59:59","Currently, I'm distracted because Mathematics is taking up all my energy.",M,rajesh.paudel1267@school.edu,555-2267
1413,Namrata Tamang,Janakpur,9,84,89,1.32,1,Service,Retired,12,Degree,N,93.92,83,"Paid,Paid,Overdue",3,0,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","17/02/2023 05:59:59,09/03/2023 22:59:59,01/04/2023 11:59:59,17/04/2023 04:59:59","It's a normal, and English is following the plan.",M,namrata.tamang1413@school.edu,555-2413
1032,Barsha Pathak,Bharatpur,12,4,55,1.14,13,Other,Housewife,10,Degree,Y,91.34,9,"Overdue,Paid,Paid",4,4,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","16/02/2023 13:59:59,09/03/2023 10:59:59,29/03/2023 20:59:59,23/04/2023 00:59:59","Honestly, I'm confused because Chemistry is taking up all my energy.",F,barsha.pathak1032@school.edu,555-2032
1332,Shilpa Malla,Butwal,11,91,97,1.73,6,Service,Service,IL,IL,N,98.05,97,"Paid,Paid,Paid",5,0,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","13/02/2023 15:59:59,06/03/2023 12:59:59,30/03/2023 12:59:59,22/04/2023 04:59:59","I feel satisfied, and Physics is manageable.",M,shilpa.malla1332@school.edu,555-2332
1114,Shrinkhala Shrestha,Butwal,12,81,56,0.26,5,Service,Retired,Degree,10,Y,55.6,21,"Overdue,Paid,Overdue",3,6,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","25/02/2023 20:59:59,17/03/2023 21:59:59,06/04/2023 15:59:59,03/05/2023 21:59:59","Lately, I've been unmotivated because Biology is hard to keep up with.",F,shrinkhala.shrestha1114@school.edu,555-2114
1170,Rajesh Baniya,Ghorahi,9,94,56,1.67,11,Service,Housewife,10,10,Y,58.12,39,"Paid,Paid,Paid",1,5,"T132_Physics_CaseStudy_1_01/02/2023,T328_Nepali_Presentation_2_27/02/2023,T130_Biology_Essay_3_16/03/2023,T195_English_LabReport_4_05/04/2023","15/02/2023 23:59:59,13/03/2023 23:59:59,30/03/2023 23:59:59,19/04/2023 23:59:59","23/02/2023 13:59:59,19/03/2023 20:59:59,04/04/2023 04:59:59,25/04/2023 22:59:59",I'm feeling stressed because Physics is hard to keep up with.,F,rajesh.baniya1170@school.edu,555-2170
1381,Rekha Rai,Dhangadhi,12,97,85,1.37,11,Business,Others,IL,IL,N,93.37,98,"Paid,Paid,Paid",3,0,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","15/02/2023 05:59:59,10/03/2023 13:59:59,27/03/2023 20:59:59,22/04/2023 18:59:59","Everything is great, especially since calm, and Mathematics is my favorite part of the week.",M,rekha.rai1381@school.edu,555-2381
1499,Barsha Gurung,Biratnagar,11,31,51,0.89,8,Service,Service,PG,Degree,N,94.29,33,"Paid,Overdue,Paid",3,3,"T704_Biology_CaseStudy_1_01/02/2023,T125_English_CaseStudy_2_24/02/2023,T323_Biology_LabReport_3_19/03/2023,T125_Physics_HW_4_10/04/2023","15/02/2023 23:59:59,10/03/2023 23:59:59,02/04/2023 23:59:59,24/04/2023 23:59:59","15/02/2023 15:59:59,07/03/2023 11:59:59,30/03/2023 10:59:59,26/04/2023 07:59:59","Honestly, I'm distracted because Biology is causing me some anxiety.",F,barsha.gurung1499@school.edu,555-2499
1467,Sunil Basnet,Itahari,12,96,84,1.54,11,Other,Housewife,Degree,UM,N,89.14,94,"Paid,Paid,Paid",4,1,"T204_Physics_HW_1_02/02/2023,T658_Mathematics_LabReport_2_25/02/2023,T858_Biology_Project_3_17/03/2023,T328_Chemistry_Presentation_4_07/04/2023","16/02/2023 23:59:59,11/03/2023 23:59:59,31/03/2023 23:59:59,21/04/2023 23:59:59","16/02/2023 23:59:59,10/03/2023 09:59:59,02/04/2023 06:59:59,20/04/2023 01:59:59","Currently focused, and Chemistry is going well.",M,sunil.basnet1467@school.edu,555-2467
